snowpark_connect_category,keyword_pattern,language,ewi_code,sma_category,description_template,doc_url
No-Op Config,,python,SPRKCNTPY1000,Warning,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
UDF Serialization,,python,SPRKCNTPY1000,Warning,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Performance Optimization,,python,SPRKCNTPY1000,Information,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Recommended Improvement,,python,SPRKCNTPY1000,Information,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Generic,,python,SPRKCNTPY1000,ConversionError,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect TODO,,python,SPRKCNTPY1000,ConversionError,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect Performance,,python,SPRKCNTPY1000,Information,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
Snowpark Connect Fix,,python,SPRKCNTPY1000,Warning,The element '{element}' is not supported for Snowpark Connect,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python#sprkcntpy1000
TaxonomyMeta,,python,SPRKCNTPY2600,ConversionError,The element '{element}' — UDTF/UDAF requiring Snowpark handler conversion,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY3100,ConversionError,The element '{element}' — JVM-only / external-runtime library (Databricks/EMR/Deequ),https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY3200,ConversionError,The element '{element}' — Hadoop FS / cloud path / credential (use a Snowflake stage or storage integration),https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY3300,Warning,The element '{element}' — Catalog DDL (USE DATABASE/SCHEMA) rewritten to a fully-qualified name,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY3400,ConversionError,The element '{element}' — Delta Lake API/SQL (use a Snowflake-native equivalent),https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY4002,Warning,The element '{element}' — SparkContext property replaced with a static fallback,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5000,Warning,The element '{element}' — Data type / numeric semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5100,Warning,The element '{element}' — Datetime / timezone semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5200,Warning,The element '{element}' — Structured type (ARRAY/MAP/STRUCT) semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5300,Warning,The element '{element}' — Aggregation / window function semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5400,ConversionError,The element '{element}' — Spark SQL syntax / DDL construct difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5450,ConversionError,The element '{element}' — Subquery / lateral-join restriction,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5500,Warning,The element '{element}' — Regex / string-function semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5600,Information,The element '{element}' — Built-in function backed by a UDF (correct but slower per-row),https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5700,Warning,The element '{element}' — User-defined function (UDF) behavior difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5800,ConversionError,The element '{element}' — File I/O / format support difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY5900,Warning,The element '{element}' — Hive-style partitioning difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6000,ConversionError,The element '{element}' — JDBC source / sink difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6100,Information,The element '{element}' — Execution model / performance difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6200,Warning,The element '{element}' — Catalog / metadata semantics difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6300,Warning,The element '{element}' — Observability / debugging difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6400,Warning,The element '{element}' — Session isolation / concurrency difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
TaxonomyMeta,,python,SPRKCNTPY6500,Warning,The element '{element}' — Lazy resolution / temp-view rebinding difference,https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/python/snowpark-connect-codes-python
